Room, X: 21, Y: 53, Width: 20, Height: 22
Room, X: 30, Y: 50, Width: 22, Height: 21
Room, X: 11, Y: 22, Width: 16, Height: 19
Room, X: 57, Y: 12, Width: 24, Height: 22
Room, X: 4, Y: 56, Width: 24, Height: 21
Room, X: 29, Y: 31, Width: 16, Height: 21
Room, X: 51, Y: 19, Width: 17, Height: 24
Room, X: 53, Y: 18, Width: 21, Height: 20
Room, X: 57, Y: 49, Width: 20, Height: 18
Room, X: 9, Y: 27, Width: 18, Height: 24
Room, X: 18, Y: 6, Width: 24, Height: 20
Room, X: 46, Y: 43, Width: 17, Height: 19
Room, X: 0, Y: 34, Width: 22, Height: 22
Room, X: 20, Y: 35, Width: 25, Height: 23
Room, X: 43, Y: 2, Width: 23, Height: 16
Room, X: 61, Y: 39, Width: 17, Height: 17
Room, X: 44, Y: 8, Width: 18, Height: 20
Room, X: 15, Y: 51, Width: 20, Height: 20
Room, X: 39, Y: 11, Width: 20, Height: 22
Room, X: 42, Y: 46, Width: 24, Height: 25
Room, X: 8, Y: 5, Width: 19, Height: 19
Room, X: 0, Y: 45, Width: 21, Height: 20
Room, X: 50, Y: 32, Width: 21, Height: 16
Room, X: 28, Y: 20, Width: 25, Height: 21
Room, X: 2, Y: 29, Width: 19, Height: 20
Room, X: 31, Y: 51, Width: 16, Height: 19
Room, X: 28, Y: 31, Width: 21, Height: 17
Room, X: 6, Y: 45, Width: 19, Height: 22
Room, X: 10, Y: -1, Width: 25, Height: 24
Room, X: 55, Y: 10, Width: 21, Height: 19
Room, X: 39, Y: 14, Width: 25, Height: 17
Room, X: 10, Y: 25, Width: 18, Height: 24
Room, X: 60, Y: 52, Width: 17, Height: 19
Room, X: 22, Y: 40, Width: 16, Height: 16
Room, X: 58, Y: 11, Width: 17, Height: 18
Room, X: 33, Y: 18, Width: 23, Height: 17
Room, X: 32, Y: 48, Width: 23, Height: 20
Room, X: 42, Y: 14, Width: 21, Height: 21
Room, X: -1, Y: 54, Width: 23, Height: 19
Room, X: 61, Y: 35, Width: 16, Height: 16
Room, X: 17, Y: 29, Width: 20, Height: 21
Room, X: 37, Y: 37, Width: 16, Height: 22
Room, X: 3, Y: 16, Width: 20, Height: 24
Room, X: 8, Y: 45, Width: 24, Height: 22
Room, X: 46, Y: 53, Width: 22, Height: 25
Room, X: 52, Y: 7, Width: 21, Height: 20
Room, X: 5, Y: 55, Width: 21, Height: 22
Room, X: 4, Y: 4, Width: 16, Height: 19
Room, X: 51, Y: 35, Width: 22, Height: 17
Room, X: 46, Y: 8, Width: 24, Height: 16
Room, X: 18, Y: 54, Width: 20, Height: 19
Room, X: 28, Y: 45, Width: 25, Height: 20
Room, X: 56, Y: 13, Width: 20, Height: 21
Room, X: 41, Y: 29, Width: 19, Height: 20
Room, X: 8, Y: 44, Width: 19, Height: 23
Room, X: 37, Y: 3, Width: 24, Height: 24
Room, X: 45, Y: 39, Width: 25, Height: 16
Room, X: 48, Y: 0, Width: 24, Height: 20
Room, X: 58, Y: 16, Width: 22, Height: 16
Room, X: 27, Y: 27, Width: 16, Height: 25
Room, X: 46, Y: 15, Width: 25, Height: 24
Room, X: 24, Y: 26, Width: 19, Height: 17
Room, X: 57, Y: 18, Width: 25, Height: 20
Room, X: 27, Y: 48, Width: 16, Height: 20
Room, X: 11, Y: 14, Width: 22, Height: 16
Room, X: 47, Y: 57, Width: 25, Height: 25
Room, X: 38, Y: 36, Width: 24, Height: 22
Room, X: 10, Y: 24, Width: 20, Height: 18
Room, X: 41, Y: 37, Width: 17, Height: 19
Room, X: 14, Y: 8, Width: 16, Height: 20
Room, X: 52, Y: 6, Width: 21, Height: 16
Room, X: 3, Y: 17, Width: 22, Height: 24
Room, X: 36, Y: 35, Width: 16, Height: 19
Room, X: 55, Y: 8, Width: 23, Height: 23
Room, X: 14, Y: 19, Width: 21, Height: 17
Room, X: 44, Y: 10, Width: 21, Height: 21
Room, X: 38, Y: 48, Width: 17, Height: 23
Room, X: 43, Y: 40, Width: 22, Height: 20
Room, X: 55, Y: 0, Width: 18, Height: 22
Room, X: 8, Y: 14, Width: 18, Height: 22
Room, X: 48, Y: 30, Width: 22, Height: 23
Room, X: 13, Y: 58, Width: 19, Height: 23
Room, X: 57, Y: 23, Width: 22, Height: 22
Room, X: 34, Y: 37, Width: 19, Height: 18
Room, X: 11, Y: 10, Width: 16, Height: 16
Room, X: 50, Y: 13, Width: 20, Height: 23
Room, X: 4, Y: 17, Width: 22, Height: 22
Room, X: 23, Y: 42, Width: 20, Height: 17
Room, X: 11, Y: 22, Width: 25, Height: 21
Room, X: 17, Y: 49, Width: 21, Height: 19
Room, X: 37, Y: 56, Width: 19, Height: 22
Room, X: 4, Y: 21, Width: 22, Height: 16
Room, X: 39, Y: 30, Width: 21, Height: 19
Room, X: 36, Y: 28, Width: 18, Height: 19
Room, X: 60, Y: 6, Width: 16, Height: 16
Room, X: 14, Y: 9, Width: 24, Height: 16
Room, X: 53, Y: 30, Width: 20, Height: 24
Room, X: 28, Y: 1, Width: 23, Height: 23
Room, X: 3, Y: 53, Width: 17, Height: 24
Room, X: 19, Y: 11, Width: 22, Height: 20
Room, X: 52, Y: 52, Width: 20, Height: 18
Room, X: 9, Y: 48, Width: 24, Height: 16
Room, X: 23, Y: 57, Width: 17, Height: 24
Room, X: 58, Y: 59, Width: 18, Height: 18
Room, X: 20, Y: 12, Width: 25, Height: 19
Room, X: 26, Y: 41, Width: 24, Height: 25
Room, X: 32, Y: 11, Width: 16, Height: 21
Room, X: 2, Y: 14, Width: 19, Height: 17
Room, X: 13, Y: 15, Width: 18, Height: 17
Room, X: 49, Y: 40, Width: 21, Height: 19
Room, X: 53, Y: 18, Width: 25, Height: 20
Room, X: 14, Y: 25, Width: 16, Height: 25
Room, X: 49, Y: 12, Width: 22, Height: 22
Room, X: 36, Y: 48, Width: 19, Height: 25
Room, X: 15, Y: 39, Width: 18, Height: 24
Room, X: 35, Y: 52, Width: 18, Height: 20
Room, X: 51, Y: 2, Width: 23, Height: 19
Room, X: 26, Y: 28, Width: 22, Height: 17
Room, X: 15, Y: 56, Width: 22, Height: 19
Room, X: 53, Y: 37, Width: 20, Height: 16
Room, X: 35, Y: 10, Width: 19, Height: 17
Room, X: 53, Y: 21, Width: 23, Height: 18
Room, X: 48, Y: 52, Width: 22, Height: 22
Room, X: 19, Y: 37, Width: 23, Height: 18
Room, X: 5, Y: 10, Width: 22, Height: 19
Room, X: 1, Y: 49, Width: 25, Height: 19
Room, X: 42, Y: 20, Width: 20, Height: 16
Room, X: -1, Y: 17, Width: 24, Height: 21
Room, X: 20, Y: 51, Width: 23, Height: 22
Room, X: 28, Y: 26, Width: 18, Height: 18
Room, X: 23, Y: 3, Width: 24, Height: 20
Room, X: 57, Y: 37, Width: 25, Height: 20
Room, X: 19, Y: 51, Width: 21, Height: 20
Room, X: 58, Y: 16, Width: 18, Height: 25
Room, X: 44, Y: 48, Width: 24, Height: 16
Room, X: 25, Y: 56, Width: 24, Height: 16
Room, X: 31, Y: 22, Width: 25, Height: 20
Room, X: 37, Y: 16, Width: 22, Height: 23
Room, X: 61, Y: 2, Width: 16, Height: 17
Room, X: 12, Y: 30, Width: 20, Height: 16
Room, X: 39, Y: 6, Width: 23, Height: 17
Room, X: 29, Y: 46, Width: 25, Height: 20
Room, X: 57, Y: 27, Width: 22, Height: 20
Room, X: 11, Y: 54, Width: 25, Height: 19
Room, X: 13, Y: 24, Width: 18, Height: 18
Room, X: 35, Y: 9, Width: 22, Height: 23
Room, X: 47, Y: 46, Width: 18, Height: 19
Room, X: 51, Y: 4, Width: 20, Height: 17
Room, X: 5, Y: 32, Width: 20, Height: 24
Room, X: 27, Y: 50, Width: 18, Height: 24
Room, X: 29, Y: 48, Width: 19, Height: 22
Room, X: -1, Y: 46, Width: 24, Height: 19
Room, X: 21, Y: 17, Width: 19, Height: 21
Room, X: 53, Y: 11, Width: 16, Height: 20
Room, X: 21, Y: 28, Width: 23, Height: 23
Room, X: 32, Y: 28, Width: 25, Height: 19
Room, X: 60, Y: 31, Width: 19, Height: 21
Room, X: 19, Y: 5, Width: 24, Height: 17
Room, X: 56, Y: 56, Width: 16, Height: 19
Room, X: 2, Y: 32, Width: 19, Height: 16
Room, X: 14, Y: 54, Width: 20, Height: 25
Room, X: 56, Y: 14, Width: 21, Height: 23
Room, X: 5, Y: 2, Width: 23, Height: 16
Room, X: 55, Y: 5, Width: 16, Height: 16
Room, X: 11, Y: 43, Width: 16, Height: 21
Room, X: 15, Y: 11, Width: 23, Height: 18
Room, X: 52, Y: 33, Width: 16, Height: 24
Room, X: 39, Y: 15, Width: 25, Height: 25
Room, X: 10, Y: 50, Width: 20, Height: 24
Room, X: 7, Y: 3, Width: 19, Height: 19
Room, X: 38, Y: 39, Width: 22, Height: 21
Room, X: 21, Y: 16, Width: 22, Height: 21
Room, X: 49, Y: 57, Width: 18, Height: 20
Room, X: 19, Y: 3, Width: 25, Height: 25
Room, X: 20, Y: 42, Width: 24, Height: 24
Room, X: 56, Y: 14, Width: 24, Height: 18
Room, X: 2, Y: 9, Width: 23, Height: 18
Room, X: 46, Y: 47, Width: 17, Height: 17
Room, X: 21, Y: 46, Width: 23, Height: 25
Room, X: 56, Y: 23, Width: 21, Height: 17
Room, X: 46, Y: 60, Width: 22, Height: 17
Room, X: 28, Y: 8, Width: 18, Height: 21
Room, X: 40, Y: 53, Width: 18, Height: 20
Room, X: 60, Y: 6, Width: 19, Height: 18
Room, X: 0, Y: 52, Width: 23, Height: 18
Room, X: 45, Y: 13, Width: 24, Height: 16
Room, X: 36, Y: 43, Width: 24, Height: 18
Room, X: 58, Y: 8, Width: 21, Height: 20
Room, X: 3, Y: 51, Width: 18, Height: 19
Room, X: 34, Y: 31, Width: 21, Height: 22
Room, X: 12, Y: 54, Width: 20, Height: 23
Room, X: 33, Y: 3, Width: 18, Height: 21
Room, X: 6, Y: 0, Width: 23, Height: 25
Room, X: 40, Y: 10, Width: 19, Height: 23
Room, X: 61, Y: 20, Width: 16, Height: 24
Room, X: 44, Y: 46, Width: 18, Height: 24
Room, X: 6, Y: 48, Width: 25, Height: 18
Room, X: 28, Y: 35, Width: 18, Height: 17
Room, X: 49, Y: 18, Width: 24, Height: 16
Room, X: 41, Y: 54, Width: 23, Height: 19
Room, X: 36, Y: 58, Width: 20, Height: 19
Room, X: 10, Y: 13, Width: 19, Height: 17
Room, X: 3, Y: 49, Width: 24, Height: 17
Room, X: 34, Y: 17, Width: 23, Height: 21
Room, X: 24, Y: 40, Width: 19, Height: 16
Room, X: 56, Y: 18, Width: 20, Height: 18
Room, X: 7, Y: 2, Width: 19, Height: 24
Room, X: 39, Y: 42, Width: 16, Height: 25
Room, X: -1, Y: 16, Width: 23, Height: 24
Room, X: 46, Y: 0, Width: 23, Height: 24
Room, X: 45, Y: 15, Width: 25, Height: 25
Room, X: 6, Y: 31, Width: 16, Height: 20
Room, X: 18, Y: 32, Width: 24, Height: 21
Room, X: 59, Y: 9, Width: 19, Height: 20
Room, X: 52, Y: 51, Width: 18, Height: 21
Room, X: 21, Y: 38, Width: 22, Height: 17
Room, X: 40, Y: 18, Width: 25, Height: 17
Room, X: 28, Y: 15, Width: 16, Height: 23
Room, X: 40, Y: 43, Width: 19, Height: 17
Room, X: 0, Y: 13, Width: 20, Height: 17
Room, X: 39, Y: 2, Width: 25, Height: 24
Room, X: 10, Y: 16, Width: 23, Height: 22
Room, X: 37, Y: 33, Width: 24, Height: 19
Room, X: 6, Y: 61, Width: 16, Height: 16
Room, X: 10, Y: 40, Width: 21, Height: 19
Room, X: 32, Y: 2, Width: 24, Height: 20
Room, X: 33, Y: 19, Width: 20, Height: 21
Room, X: 4, Y: 30, Width: 21, Height: 25
Room, X: 51, Y: 57, Width: 24, Height: 17
Room, X: 24, Y: 38, Width: 21, Height: 16
Room, X: 29, Y: 56, Width: 20, Height: 23
Room, X: 42, Y: 14, Width: 23, Height: 17
Room, X: 46, Y: 54, Width: 16, Height: 19
Room, X: 50, Y: 9, Width: 22, Height: 16
Room, X: 13, Y: 52, Width: 24, Height: 17
Room, X: 6, Y: 28, Width: 21, Height: 22
Room, X: 36, Y: 37, Width: 17, Height: 19
Room, X: 54, Y: 7, Width: 23, Height: 20
Room, X: 3, Y: 42, Width: 16, Height: 17
Room, X: 25, Y: -2, Width: 24, Height: 25
Room, X: 19, Y: 3, Width: 24, Height: 16
Room, X: 3, Y: 26, Width: 23, Height: 22
Room, X: 38, Y: 52, Width: 23, Height: 18
Room, X: 24, Y: 25, Width: 18, Height: 18
Room, X: 56, Y: 55, Width: 25, Height: 20
Room, X: 51, Y: 31, Width: 16, Height: 20
Room, X: 4, Y: 50, Width: 18, Height: 23
Room, X: 31, Y: 29, Width: 17, Height: 21
Room, X: 3, Y: 42, Width: 25, Height: 20
Room, X: 15, Y: 50, Width: 16, Height: 17
Room, X: 1, Y: 23, Width: 18, Height: 24
Room, X: 50, Y: 31, Width: 22, Height: 22
Room, X: 37, Y: 3, Width: 19, Height: 18
Room, X: 40, Y: 19, Width: 20, Height: 17
Room, X: 11, Y: 32, Width: 19, Height: 22
Room, X: 53, Y: 52, Width: 18, Height: 22
Room, X: 19, Y: 12, Width: 18, Height: 18
Room, X: 8, Y: 5, Width: 23, Height: 17
Room, X: 5, Y: 47, Width: 23, Height: 20
Room, X: 44, Y: 56, Width: 23, Height: 25
Room, X: 49, Y: 14, Width: 24, Height: 23
Room, X: 25, Y: 31, Width: 22, Height: 23
Room, X: 52, Y: 22, Width: 21, Height: 22
Room, X: 3, Y: 46, Width: 16, Height: 23
Room, X: 26, Y: 22, Width: 17, Height: 25
Room, X: 32, Y: 50, Width: 25, Height: 23
Room, X: 52, Y: 7, Width: 16, Height: 18
Room, X: 24, Y: 43, Width: 19, Height: 20
Room, X: -1, Y: 53, Width: 22, Height: 16
Room, X: 26, Y: 55, Width: 25, Height: 21
Room, X: 5, Y: 11, Width: 24, Height: 16
Room, X: 55, Y: 56, Width: 17, Height: 21
Room, X: 2, Y: 31, Width: 16, Height: 23
Room, X: 20, Y: 37, Width: 23, Height: 19
Room, X: 46, Y: 19, Width: 22, Height: 22
Room, X: 1, Y: 10, Width: 24, Height: 16
Room, X: 4, Y: 56, Width: 23, Height: 23
Room, X: 31, Y: 41, Width: 22, Height: 17
Room, X: 38, Y: 44, Width: 23, Height: 23
Room, X: 40, Y: 2, Width: 16, Height: 20
Room, X: 12, Y: 28, Width: 22, Height: 19
Room, X: 30, Y: 19, Width: 20, Height: 21
Room, X: 26, Y: 54, Width: 17, Height: 20
Room, X: 59, Y: 30, Width: 18, Height: 19
Room, X: 0, Y: 45, Width: 23, Height: 17
Room, X: 35, Y: 51, Width: 22, Height: 21
Room, X: 28, Y: 24, Width: 17, Height: 22
Room, X: 3, Y: 18, Width: 16, Height: 24
Room, X: 35, Y: 39, Width: 20, Height: 18
Room, X: 8, Y: 23, Width: 16, Height: 23
Room, X: 34, Y: 18, Width: 24, Height: 18
Room, X: 22, Y: 54, Width: 19, Height: 22
Room, X: 50, Y: 16, Width: 25, Height: 22
Room, X: 61, Y: 58, Width: 17, Height: 19
Room, X: 21, Y: 8, Width: 24, Height: 23
Room, X: 55, Y: 42, Width: 20, Height: 17
Room, X: 36, Y: 11, Width: 17, Height: 23
Room, X: 15, Y: 20, Width: 19, Height: 24
Room, X: 34, Y: 43, Width: 19, Height: 22
Room, X: 58, Y: 31, Width: 19, Height: 17
Room, X: 10, Y: 27, Width: 17, Height: 18
Room, X: 4, Y: 9, Width: 22, Height: 19
Room, X: 49, Y: 33, Width: 23, Height: 20
Room, X: 18, Y: 34, Width: 19, Height: 20
Room, X: 36, Y: 40, Width: 21, Height: 16
Room, X: 22, Y: 15, Width: 19, Height: 21
Room, X: 2, Y: 58, Width: 17, Height: 19
Room, X: 9, Y: 40, Width: 22, Height: 19
Room, X: 14, Y: 15, Width: 25, Height: 18
Room, X: 53, Y: 55, Width: 20, Height: 21
Room, X: 8, Y: 13, Width: 18, Height: 25
Room, X: 53, Y: 10, Width: 20, Height: 22
Room, X: 20, Y: 54, Width: 18, Height: 20
Room, X: 14, Y: 36, Width: 22, Height: 16
Room, X: 8, Y: 56, Width: 19, Height: 25
Room, X: 46, Y: 9, Width: 16, Height: 17
Room, X: 21, Y: 5, Width: 20, Height: 20
Room, X: 31, Y: 17, Width: 21, Height: 24
Room, X: 23, Y: 45, Width: 25, Height: 21
Room, X: 55, Y: 42, Width: 20, Height: 17
Room, X: 21, Y: 13, Width: 16, Height: 20
Room, X: 34, Y: 22, Width: 16, Height: 22
Room, X: 11, Y: 4, Width: 17, Height: 24
Room, X: 32, Y: 47, Width: 25, Height: 25
Room, X: 8, Y: 45, Width: 19, Height: 24
Room, X: 54, Y: 2, Width: 20, Height: 20
Room, X: 3, Y: 11, Width: 22, Height: 18
Room, X: 38, Y: 30, Width: 25, Height: 18
Room, X: 40, Y: 39, Width: 25, Height: 25
Room, X: 12, Y: 57, Width: 18, Height: 23
Room, X: 29, Y: 45, Width: 23, Height: 19
Room, X: 14, Y: 21, Width: 24, Height: 21
Room, X: 48, Y: 2, Width: 17, Height: 21
Room, X: 58, Y: 54, Width: 18, Height: 20
Room, X: 32, Y: 26, Width: 17, Height: 16
Room, X: 57, Y: 25, Width: 23, Height: 24
Room, X: 12, Y: 57, Width: 23, Height: 23
Room, X: 9, Y: 42, Width: 18, Height: 21
Room, X: 36, Y: -2, Width: 16, Height: 24
Room, X: 54, Y: 12, Width: 16, Height: 24
Room, X: 51, Y: 50, Width: 25, Height: 19
Room, X: 5, Y: 11, Width: 17, Height: 17
Room, X: 7, Y: 51, Width: 22, Height: 25
Room, X: 36, Y: 35, Width: 21, Height: 18
Room, X: 8, Y: 22, Width: 18, Height: 20
Room, X: 57, Y: 24, Width: 19, Height: 25
Room, X: 25, Y: 38, Width: 16, Height: 25
Room, X: 34, Y: 8, Width: 21, Height: 17
Room, X: 31, Y: 32, Width: 20, Height: 17
Room, X: 17, Y: 53, Width: 21, Height: 25
Room, X: 48, Y: 4, Width: 20, Height: 21
Room, X: 5, Y: 27, Width: 16, Height: 18
Room, X: 44, Y: 55, Width: 19, Height: 24
Room, X: 13, Y: 50, Width: 19, Height: 22
Room, X: 44, Y: 5, Width: 16, Height: 18
Room, X: 54, Y: 32, Width: 16, Height: 21
Room, X: 17, Y: 24, Width: 24, Height: 19
Room, X: 1, Y: 51, Width: 19, Height: 21
Room, X: 51, Y: 39, Width: 24, Height: 20
Room, X: 59, Y: 2, Width: 20, Height: 18
Room, X: 9, Y: 60, Width: 20, Height: 18
Room, X: 10, Y: 26, Width: 25, Height: 24
Room, X: 14, Y: 44, Width: 24, Height: 18
Room, X: 36, Y: 12, Width: 18, Height: 17
Room, X: 34, Y: 57, Width: 18, Height: 16
Room, X: 57, Y: 22, Width: 18, Height: 19
Room, X: 26, Y: 37, Width: 22, Height: 18
Room, X: 10, Y: 1, Width: 17, Height: 22
Room, X: 20, Y: 37, Width: 25, Height: 18
Room, X: 48, Y: 25, Width: 20, Height: 16
Room, X: 1, Y: 18, Width: 23, Height: 21
Room, X: 48, Y: 31, Width: 25, Height: 21
Room, X: 13, Y: 57, Width: 21, Height: 19
Room, X: 44, Y: 27, Width: 22, Height: 16
Room, X: 52, Y: 3, Width: 16, Height: 19
Room, X: 52, Y: 24, Width: 19, Height: 20
Room, X: 22, Y: 17, Width: 17, Height: 23
Room, X: 57, Y: 2, Width: 20, Height: 17
Room, X: 5, Y: 13, Width: 24, Height: 19
Room, X: 25, Y: 48, Width: 16, Height: 20
Room, X: 14, Y: 46, Width: 22, Height: 17
Room, X: 40, Y: -1, Width: 20, Height: 23
Room, X: 12, Y: 5, Width: 25, Height: 18
Room, X: 20, Y: 24, Width: 20, Height: 23
Room, X: 4, Y: 61, Width: 19, Height: 17
Room, X: 54, Y: 38, Width: 20, Height: 25
Room, X: 57, Y: 57, Width: 17, Height: 16
Room, X: 22, Y: 36, Width: 23, Height: 25
Room, X: 27, Y: 4, Width: 24, Height: 25
Room, X: 53, Y: 2, Width: 23, Height: 17
Room, X: 31, Y: 49, Width: 24, Height: 24
Room, X: 45, Y: 23, Width: 22, Height: 21
Room, X: 0, Y: 40, Width: 25, Height: 23
