Room, X: 48, Y: 1, Width: 20, Height: 23
Room, X: 50, Y: 12, Width: 20, Height: 19
Room, X: 36, Y: 56, Width: 16, Height: 19
Room, X: 29, Y: 30, Width: 19, Height: 22
Room, X: 0, Y: 24, Width: 24, Height: 24
Room, X: 61, Y: 29, Width: 16, Height: 21
Room, X: 6, Y: 57, Width: 24, Height: 22
Room, X: 47, Y: 12, Width: 24, Height: 17
Room, X: 46, Y: 40, Width: 23, Height: 16
Room, X: 14, Y: 22, Width: 23, Height: 20
Room, X: 24, Y: 56, Width: 19, Height: 19
Room, X: 8, Y: 10, Width: 20, Height: 23
Room, X: 32, Y: 22, Width: 16, Height: 23
Room, X: 54, Y: 4, Width: 24, Height: 21
Room, X: 5, Y: 19, Width: 18, Height: 18
Room, X: 8, Y: 29, Width: 23, Height: 17
Room, X: 58, Y: 40, Width: 22, Height: 16
Room, X: 54, Y: 9, Width: 18, Height: 16
Room, X: 7, Y: 50, Width: 23, Height: 21
Room, X: 45, Y: 46, Width: 20, Height: 20
Room, X: 18, Y: 18, Width: 19, Height: 25
Room, X: 42, Y: 3, Width: 16, Height: 23
Room, X: 23, Y: 60, Width: 20, Height: 17
Room, X: 6, Y: 15, Width: 19, Height: 21
Room, X: 27, Y: 44, Width: 24, Height: 25
Room, X: 49, Y: 5, Width: 22, Height: 24
Room, X: 16, Y: 55, Width: 20, Height: 24
Room, X: 24, Y: 21, Width: 16, Height: 20
Room, X: 49, Y: 17, Width: 25, Height: 23
Room, X: 17, Y: 26, Width: 20, Height: 24
Room, X: 16, Y: 34, Width: 17, Height: 17
Room, X: 58, Y: 45, Width: 21, Height: 18
Room, X: 45, Y: 9, Width: 18, Height: 20
Room, X: 18, Y: 23, Width: 24, Height: 22
Room, X: 2, Y: 55, Width: 21, Height: 18
Room, X: 52, Y: 0, Width: 18, Height: 24
Room, X: 25, Y: 3, Width: 21, Height: 18
Room, X: 29, Y: 46, Width: 18, Height: 17
Room, X: 20, Y: 13, Width: 22, Height: 21
Room, X: 33, Y: 46, Width: 25, Height: 25
Room, X: 55, Y: 12, Width: 16, Height: 21
Room, X: 57, Y: 46, Width: 16, Height: 25
Room, X: 19, Y: 16, Width: 17, Height: 21
Room, X: 51, Y: 19, Width: 17, Height: 16
Room, X: 8, Y: 54, Width: 16, Height: 24
Room, X: 32, Y: 19, Width: 17, Height: 22
Room, X: 52, Y: 23, Width: 24, Height: 25
Room, X: 59, Y: 5, Width: 20, Height: 24
Room, X: 1, Y: 27, Width: 21, Height: 21
Room, X: 52, Y: 35, Width: 20, Height: 19
Room, X: 42, Y: 56, Width: 23, Height: 24
Room, X: 55, Y: 14, Width: 17, Height: 22
Room, X: 16, Y: 6, Width: 18, Height: 18
Room, X: 47, Y: 42, Width: 20, Height: 18
Room, X: 47, Y: 11, Width: 21, Height: 24
Room, X: 56, Y: 60, Width: 18, Height: 18
Room, X: -2, Y: 2, Width: 25, Height: 22
Room, X: 27, Y: 46, Width: 22, Height: 20
Room, X: 57, Y: 24, Width: 16, Height: 25
Room, X: 2, Y: 41, Width: 25, Height: 19
Room, X: 30, Y: 18, Width: 21, Height: 16
